id,accuracy,lambda,hidden_layer_size,max_iter,feat_size,cputime,timestamp
1,0,0,0,0,0,0,1588900000
2,70.6576,3,15,50,30,729.085882,1598388371.784922
3,69.6944,1.5,15,50,30,782.871185,1598388755.301547
4,72.2552,3,15,250,30,1057.723156,1598389306.005903
5,70.566,0.3,15,250,30,1307.02334,1598389756.774416
6,73.5744,4,15,250,30,1520.973798,1598390109.619347
7,70.7436,5,15,250,30,1762.207551,1598390418.402917
8,69.66079999999999,4,15,400,30,2141.2712,1598390887.795547
9,70.2732,4,15,250,13,2456.70209,1598391703.306145
10,67.72399999999999,4,15,250,17,2677.282168,1598391975.416683
